zip_code	MSA_number	MSA_name
68756	99027	NE NONMETROPOLITAN AREA
68757	43580	Sioux City, IA-NE-SD MSA
68758	99027	NE NONMETROPOLITAN AREA
68759	99027	NE NONMETROPOLITAN AREA
68760	99027	NE NONMETROPOLITAN AREA
68761	99027	NE NONMETROPOLITAN AREA
68763	99027	NE NONMETROPOLITAN AREA
68764	99027	NE NONMETROPOLITAN AREA
68765	99027	NE NONMETROPOLITAN AREA
68766	99027	NE NONMETROPOLITAN AREA
68767	99027	NE NONMETROPOLITAN AREA
68768	99027	NE NONMETROPOLITAN AREA
68769	99027	NE NONMETROPOLITAN AREA
68770	43580	Sioux City, IA-NE-SD MSA
68771	99027	NE NONMETROPOLITAN AREA
68772	99027	NE NONMETROPOLITAN AREA
68773	99027	NE NONMETROPOLITAN AREA
68774	99027	NE NONMETROPOLITAN AREA
68776	43580	Sioux City, IA-NE-SD MSA
68777	99027	NE NONMETROPOLITAN AREA
68778	99027	NE NONMETROPOLITAN AREA
68779	99027	NE NONMETROPOLITAN AREA
68780	99027	NE NONMETROPOLITAN AREA
68781	99027	NE NONMETROPOLITAN AREA
68783	99027	NE NONMETROPOLITAN AREA
68784	43580	Sioux City, IA-NE-SD MSA
68785	43580	Sioux City, IA-NE-SD MSA
68786	99027	NE NONMETROPOLITAN AREA
68787	99027	NE NONMETROPOLITAN AREA
68788	99027	NE NONMETROPOLITAN AREA
68789	99027	NE NONMETROPOLITAN AREA
68790	99027	NE NONMETROPOLITAN AREA
68791	99027	NE NONMETROPOLITAN AREA
68792	99027	NE NONMETROPOLITAN AREA
68801	99027	NE NONMETROPOLITAN AREA
68802	99027	NE NONMETROPOLITAN AREA
68803	99027	NE NONMETROPOLITAN AREA
68810	99027	NE NONMETROPOLITAN AREA
68812	99027	NE NONMETROPOLITAN AREA
68813	99027	NE NONMETROPOLITAN AREA
68814	99027	NE NONMETROPOLITAN AREA
68815	99027	NE NONMETROPOLITAN AREA
68816	99027	NE NONMETROPOLITAN AREA
68817	99027	NE NONMETROPOLITAN AREA
68818	99027	NE NONMETROPOLITAN AREA
68819	99027	NE NONMETROPOLITAN AREA
68820	99027	NE NONMETROPOLITAN AREA
68821	99027	NE NONMETROPOLITAN AREA
68822	99027	NE NONMETROPOLITAN AREA
68823	99027	NE NONMETROPOLITAN AREA
68824	99027	NE NONMETROPOLITAN AREA
68825	99027	NE NONMETROPOLITAN AREA
68826	99027	NE NONMETROPOLITAN AREA
68827	99027	NE NONMETROPOLITAN AREA
68828	99027	NE NONMETROPOLITAN AREA
68831	99027	NE NONMETROPOLITAN AREA
68832	99027	NE NONMETROPOLITAN AREA
68833	99027	NE NONMETROPOLITAN AREA
68834	99027	NE NONMETROPOLITAN AREA
68835	99027	NE NONMETROPOLITAN AREA
68836	99027	NE NONMETROPOLITAN AREA
68837	99027	NE NONMETROPOLITAN AREA
68838	99027	NE NONMETROPOLITAN AREA
68840	99027	NE NONMETROPOLITAN AREA
68841	99027	NE NONMETROPOLITAN AREA
68842	99027	NE NONMETROPOLITAN AREA
68843	99027	NE NONMETROPOLITAN AREA
68844	99027	NE NONMETROPOLITAN AREA
68845	99027	NE NONMETROPOLITAN AREA
68846	99027	NE NONMETROPOLITAN AREA
68847	99027	NE NONMETROPOLITAN AREA
68848	99027	NE NONMETROPOLITAN AREA
68849	99027	NE NONMETROPOLITAN AREA
68850	99027	NE NONMETROPOLITAN AREA
68852	99027	NE NONMETROPOLITAN AREA
68853	99027	NE NONMETROPOLITAN AREA
68854	99027	NE NONMETROPOLITAN AREA
68855	99027	NE NONMETROPOLITAN AREA
68856	99027	NE NONMETROPOLITAN AREA
68858	99027	NE NONMETROPOLITAN AREA
68859	99027	NE NONMETROPOLITAN AREA
68860	99027	NE NONMETROPOLITAN AREA
68861	99027	NE NONMETROPOLITAN AREA
68862	99027	NE NONMETROPOLITAN AREA
68863	99027	NE NONMETROPOLITAN AREA
68864	99027	NE NONMETROPOLITAN AREA
68865	99027	NE NONMETROPOLITAN AREA
68866	99027	NE NONMETROPOLITAN AREA
68869	99027	NE NONMETROPOLITAN AREA
68870	99027	NE NONMETROPOLITAN AREA
68871	99027	NE NONMETROPOLITAN AREA
68872	99027	NE NONMETROPOLITAN AREA
68873	99027	NE NONMETROPOLITAN AREA
68874	99027	NE NONMETROPOLITAN AREA
68875	99027	NE NONMETROPOLITAN AREA
68876	99027	NE NONMETROPOLITAN AREA
68878	99027	NE NONMETROPOLITAN AREA
68879	99027	NE NONMETROPOLITAN AREA
68880	99027	NE NONMETROPOLITAN AREA
68881	99027	NE NONMETROPOLITAN AREA
68882	99027	NE NONMETROPOLITAN AREA
68883	99027	NE NONMETROPOLITAN AREA
68901	99027	NE NONMETROPOLITAN AREA
68902	99027	NE NONMETROPOLITAN AREA
68920	99027	NE NONMETROPOLITAN AREA
68922	99027	NE NONMETROPOLITAN AREA
68923	99027	NE NONMETROPOLITAN AREA
68924	99027	NE NONMETROPOLITAN AREA
68925	99027	NE NONMETROPOLITAN AREA
68926	99027	NE NONMETROPOLITAN AREA
68927	99027	NE NONMETROPOLITAN AREA
68928	99027	NE NONMETROPOLITAN AREA
68929	99027	NE NONMETROPOLITAN AREA
68930	99027	NE NONMETROPOLITAN AREA
68932	99027	NE NONMETROPOLITAN AREA
68933	99027	NE NONMETROPOLITAN AREA
68934	99027	NE NONMETROPOLITAN AREA
68935	99027	NE NONMETROPOLITAN AREA
68936	99027	NE NONMETROPOLITAN AREA
68937	99027	NE NONMETROPOLITAN AREA
68938	99027	NE NONMETROPOLITAN AREA
68939	99027	NE NONMETROPOLITAN AREA
68940	99027	NE NONMETROPOLITAN AREA
68941	99027	NE NONMETROPOLITAN AREA
68942	99027	NE NONMETROPOLITAN AREA
68943	99027	NE NONMETROPOLITAN AREA
68944	99027	NE NONMETROPOLITAN AREA
68945	99027	NE NONMETROPOLITAN AREA
68946	99027	NE NONMETROPOLITAN AREA
